,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
110,Kevin De Bruyne,,be BEL,MF,Manchester City,30-268,1991,17.1,9,55,23,41.8,3.22,1.35,0.16,0.39,18.7,3,0,0,4.5,4.5,0.08,4.5,4.5,Matches
111,Troy Deeney,,eng ENG,FW,Watford,33-267,1988,0.3,0,2,0,0,7.2,0,0,,9,0,0,0,0.4,0.4,0.2,-0.4,-0.4,Matches
112,Liam Delap,,eng ENG,FW,Manchester City,19-043,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
113,Fabian Delph,,eng ENG,MF,Everton,32-122,1989,2.8,0,1,0,0,0.36,0,0,,28,0,0,0,0,0,0.02,0,0,Matches
114,Leander Dendoncker,,be BEL,MFFW,Wolves,26-342,1995,15.7,1,17,7,41.2,1.08,0.45,0.06,0.14,15.5,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches
115,Emmanuel Dennis,,ng NGA,FWMF,Watford,24-128,1997,24.2,9,54,24,44.4,2.24,0.99,0.17,0.38,14.6,4,0,0,6.8,6.8,0.13,2.2,2.2,Matches
116,Kiernan Dewsbury Hall,,eng ENG,MF,Leicester City,23-198,1998,13.7,0,14,1,7.1,1.02,0.07,0,0,21,1,0,0,1,1,0.07,-1,-1,Matches
117,Ibrahima Diallo,,fr FRA,MF,Southampton,23-015,1999,8.4,0,7,3,42.9,0.83,0.36,0,0,19.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
118,Raphael Dias Belloli,,br BRA,MFFW,Leeds United,25-099,1996,25,9,70,17,24.3,2.8,0.68,0.09,0.35,20.4,9,3,3,9.2,6.9,0.1,-0.2,-0.9,Matches
119,Ruben Dias,,pt POR,DF,Manchester City,24-313,1997,23.7,2,15,3,20,0.63,0.13,0.13,0.67,11.6,0,0,0,1.5,1.5,0.1,0.5,0.5,Matches
120,Luis Diaz,,co COL,FW,Liverpool,25-069,1997,5.5,2,19,7,36.8,3.45,1.27,0.11,0.29,17.3,0,0,0,2.3,2.3,0.12,-0.3,-0.3,Matches
121,Eric Dier,,eng ENG,DF,Tottenham,28-067,1994,25.1,0,9,3,33.3,0.36,0.12,0,0,13.3,3,0,0,0.9,0.9,0.1,-0.9,-0.9,Matches
122,Lucas Digne,,fr FRA,DF,Aston Villa,28-246,1993,7.1,0,6,1,16.7,0.85,0.14,0,0,14.1,1,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
123,Lucas Digne,,fr FRA,DF,Everton,28-246,1993,13,0,9,1,11.1,0.69,0.08,0,0,21.1,3,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
124,Virgil van Dijk,,nl NED,DF,Liverpool,30-258,1991,27,3,27,11,40.7,1,0.41,0.11,0.27,11.4,1,0,0,2,2,0.08,1,1,Matches
125,Issa Diop,,fr FRA,DF,West Ham,25-073,1997,9,0,1,1,100,0.11,0.11,0,0,7.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
126,Moussa Djenepo,,ml MLI,MF,Southampton,23-281,1998,4.9,0,10,1,10,2.05,0.21,0,0,15.9,0,0,0,1.5,1.5,0.15,-1.5,-1.5,Matches
127,Lewis Dobbin,,eng ENG,FWMF,Everton,19-079,2003,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
128,Matt Doherty,,ie IRL,DF,Tottenham,30-066,1992,8.5,1,14,5,35.7,1.65,0.59,0.07,0.2,14.3,0,0,0,2,2,0.14,-1,-1,Matches
129,Gabriel Dos Santos,,br BRA,DF,Arsenal,24-094,1997,24.4,3,21,7,33.3,0.86,0.29,0.14,0.43,11.4,0,0,0,1.9,1.9,0.09,1.1,1.1,Matches
130,Abdoulaye Doucoure,,fr FRA,MF,Everton,29-081,1993,19.7,2,25,6,24,1.27,0.3,0.08,0.33,16.9,0,0,0,1.9,1.9,0.08,0.1,0.1,Matches
131,Kieran Dowell,,eng ENG,FWMF,Norwich City,24-164,1997,4,0,3,0,0,0.76,0,0,,26,2,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
