,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
98,Cucho,,co COL,FWMF,Watford,22-349,1999,12.1,3.22,3.22,2.15,0.33,0.33,0.25,0.08,0.08,0.5,0.5,0.25,0.08,0,0.08,0,0.08,Matches
99,Marc Cucurella,,es ESP,DF,Brighton,23-256,1998,26.3,2.32,2.32,2.02,0.19,0.04,0.04,0,0.04,0.04,0.04,0.04,0,0,0,0,0,Matches
100,Luke Cundle,,eng ENG,MF,Wolves,19-343,2002,0.9,2.22,2.14,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
101,Patson Daka,,zm ZAM,FW,Leicester City,23-177,1998,8.5,1.88,1.87,1.76,0,0,0.12,0,0,0.59,0.59,0.47,0,0,0.12,0,0,Matches
102,Stuart Dallas,,nir NIR,DFMF,Leeds United,30-350,1991,29.9,1.97,1.97,1.17,0.54,0.07,0.03,0.07,0.1,0.1,0.1,0.07,0,0,0,0,0.03,Matches
103,Diogo Dalot,,pt POR,DF,Manchester Utd,23-017,1999,13.1,2.21,2.21,1.91,0.08,0.15,0,0.08,0,0.23,0.23,0.23,0,0,0,0,0,Matches
104,Karl Darlow,,eng ENG,GK,Newcastle Utd,31-178,1990,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Josh Dasilva,,eng ENG,MFFW,Brentford,23-163,1998,1.5,1.33,1.32,0.67,0,0,0,0.67,0,0,0,0,0,0,0,0,0,Matches
106,Ben Davies,,wls WAL,DF,Tottenham,28-345,1993,20.3,0.94,0.94,0.89,0.05,0,0,0,0,0.15,0.15,0.15,0,0,0,0,0,Matches
107,Tom Davies,,eng ENG,MF,Everton,23-278,1998,1.8,2.22,2.28,1.67,0,0,0.56,0,0,0,0,0,0,0,0,0,0,Matches
108,Keinan Davis,,eng ENG,FW,Aston Villa,24-050,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
109,Craig Dawson,,eng ENG,DF,West Ham,31-333,1990,24.9,0.36,0.36,0.2,0,0.04,0.12,0,0,0.16,0.16,0.12,0,0,0.04,0,0,Matches
110,Kevin De Bruyne,,be BEL,MF,Manchester City,30-280,1991,17.9,5.31,5.3,3.58,1.28,0.11,0.17,0.17,0,0.39,0.39,0.17,0.11,0.06,0,0.06,0,Matches
111,Troy Deeney,,eng ENG,FW,Watford,33-279,1988,0.3,3.33,3.6,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
112,Liam Delap,,eng ENG,FW,Manchester City,19-055,2003,0.1,10,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,Matches
113,Fabian Delph,,eng ENG,MF,Everton,32-134,1989,2.8,0.71,0.72,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Leander Dendoncker,,be BEL,MF,Wolves,26-354,1995,16.7,1.56,1.56,1.5,0,0,0.06,0,0,0.42,0.42,0.36,0,0,0.06,0,0,Matches
115,Emmanuel Dennis,,ng NGA,FWMF,Watford,24-140,1997,24.3,3.33,3.33,1.98,0,0.62,0.33,0.33,0.08,0.45,0.45,0.25,0,0.04,0.08,0.04,0.04,Matches
116,Kiernan Dewsbury Hall,,eng ENG,MF,Leicester City,23-210,1998,14.7,3.13,3.13,2.38,0.07,0.2,0.14,0.2,0.14,0.27,0.27,0.27,0,0,0,0,0,Matches
117,Ibrahima Diallo,,fr FRA,MF,Southampton,23-027,1999,9.4,2.66,2.66,2.34,0,0.21,0,0.11,0,0.43,0.43,0.43,0,0,0,0,0,Matches
118,Raphael Dias Belloli,,br BRA,FWMF,Leeds United,25-111,1996,26,4.08,4.08,2.27,0.77,0.46,0.31,0.19,0.08,0.27,0.27,0.15,0,0.08,0,0.04,0,Matches
119,Ruben Dias,,pt POR,DF,Manchester City,24-325,1997,23.7,1.1,1.1,1.01,0,0,0.04,0,0.04,0.17,0.17,0.13,0,0,0.04,0,0,Matches
120,Luis Diaz,,co COL,FW,Liverpool,25-081,1997,5.5,5.09,5.08,3.64,0,0.91,0.18,0,0.36,0.18,0.18,0.18,0,0,0,0,0,Matches
121,Eric Dier,,eng ENG,DF,Tottenham,28-079,1994,26.1,0.88,0.88,0.65,0,0,0.15,0,0.08,0.15,0.15,0.08,0,0,0.08,0,0,Matches
122,Lucas Digne,,fr FRA,DF,Aston Villa,28-258,1993,7.2,3.06,3.04,1.94,0.97,0.14,0,0,0,0.28,0.28,0.14,0.14,0,0,0,0,Matches
